City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
78,Port Elizabeth,ZA,2020-05-08 18:35:15,-33.92,25.57,60.8,100,0,4.7,light rain,0,0
79,Port Hardy,CA,2020-05-08 18:42:55,50.7,-127.42,53.6,66,20,4.7,few clouds,0,0
80,Jiuquan,CN,2020-05-08 18:40:20,39.74,98.52,52.32,35,0,7.45,clear sky,0,0
81,Kenai,US,2020-05-08 18:40:26,60.55,-151.26,53.6,46,1,14.99,clear sky,0,0
82,Hilo,US,2020-05-08 18:37:29,19.73,-155.09,75.2,64,90,4.54,overcast clouds,0,0
83,Cape Town,ZA,2020-05-08 18:34:50,-33.93,18.42,66.0,93,0,9.17,clear sky,0,0
84,Derbent,RU,2020-05-08 18:45:07,42.07,48.29,61.39,80,94,3.06,overcast clouds,0,0
85,Pacific Grove,US,2020-05-08 18:37:08,36.62,-121.92,84.99,60,1,6.93,clear sky,0,0
86,Saint-Pierre,RE,2020-05-08 18:36:31,-21.34,55.48,73.4,69,20,8.05,few clouds,0,0
87,Khandyga,RU,2020-05-08 18:45:08,62.67,135.6,34.21,95,100,5.35,overcast clouds,0,0
88,Jacareacanga,BR,2020-05-08 18:41:35,-6.22,-57.75,89.6,70,40,3.36,scattered clouds,0,0
89,Aguilas,ES,2020-05-08 18:45:08,37.41,-1.58,66.99,77,100,1.99,overcast clouds,0,0
90,Hithadhoo,MV,2020-05-08 18:36:35,-0.6,73.08,85.24,78,100,14.18,overcast clouds,0,0
91,Westerland,DE,2020-05-08 18:41:35,54.91,8.3,53.6,76,99,6.93,overcast clouds,0,0
92,Port Blair,IN,2020-05-08 18:34:44,11.67,92.75,84.02,76,100,3.78,overcast clouds,0,0
93,Tasiilaq,GL,2020-05-08 18:37:41,65.61,-37.64,34.39,80,0,0.2,clear sky,0,0
94,Thinadhoo,MV,2020-05-08 18:38:53,0.53,72.93,85.24,77,11,16.89,few clouds,0,0
95,Namatanai,PG,2020-05-08 18:42:48,-3.67,152.43,79.61,77,0,3.96,clear sky,0,0
96,Mahebourg,MU,2020-05-08 18:37:11,-20.41,57.7,73.4,94,20,4.7,few clouds,0,0
97,Sakakah,SA,2020-05-08 18:45:10,29.97,40.21,89.6,17,84,20.8,broken clouds,0,0
98,Bonthe,SL,2020-05-08 18:45:10,7.53,-12.51,82.69,83,49,9.01,scattered clouds,0,0
99,Jamestown,US,2020-05-08 18:33:10,42.1,-79.24,33.01,92,90,11.41,light snow,0,0
100,Vulcan,RO,2020-05-08 18:45:11,45.38,23.27,45.99,77,66,4.59,broken clouds,0,0
101,Mon,IN,2020-05-08 18:45:11,26.75,95.1,63.75,82,24,3.87,few clouds,0,0
102,Kamenka,RU,2020-05-08 18:41:38,51.32,42.77,55.0,73,100,4.92,overcast clouds,0,0
103,Platanos,GR,2020-05-08 18:45:11,37.67,21.62,64.4,72,0,4.7,clear sky,0,0
104,Lokosovo,RU,2020-05-08 18:45:12,61.13,74.82,62.73,50,100,10.89,overcast clouds,0,0
105,Taoudenni,ML,2020-05-08 18:39:19,22.68,-3.98,97.3,19,100,25.66,overcast clouds,0,0
106,Le Port,RE,2020-05-08 18:45:12,-20.94,55.29,73.4,78,20,5.82,few clouds,0,0
107,Ostrovnoy,RU,2020-05-08 18:37:16,68.05,39.51,33.62,92,98,8.08,overcast clouds,0,0
108,Khasan,RU,2020-05-08 18:45:14,42.43,130.64,52.65,79,100,3.6,overcast clouds,0,0
109,Fonte Boa,BR,2020-05-08 18:45:14,-2.5,-66.27,78.82,91,100,1.9,light rain,0,0
