City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Luba,GQ,78.8,scattered clouds,3.46,8.55,
463,Jeremoabo,BR,80.44,light rain,-10.07,-38.48,
465,Kirakira,SB,77.92,clear sky,-10.45,161.92,SanBiz Lodge
470,Baculin,PH,78.89,clear sky,7.45,126.58,Shovy's Cove
474,Conde,BR,86.0,broken clouds,-7.26,-34.91,Pousada Beija Flor
475,Veraval,IN,81.46,clear sky,20.9,70.37,Lords Inn Somnath
476,Panji,ID,76.62,broken clouds,-7.73,114.1,Bata Ringan Lokal Situbondo
483,Katobu,ID,75.99,scattered clouds,-4.94,122.53,La Ode Gombe
486,Wewak,PG,79.2,overcast clouds,-3.55,143.63,In Wewak Boutique Hotel
488,Riyadh,SA,84.2,clear sky,24.69,46.72,InterContinental Riyadh
490,Tangping,CN,79.61,overcast clouds,22.03,111.93,
491,Ukiah,US,82.0,clear sky,39.15,-123.21,Hampton Inn Ukiah
496,Saint-Marc,HT,86.63,light rain,19.11,-72.69,Maguana Hotel
505,Netrakona,BD,78.26,clear sky,24.88,90.72,kurpar gas office
506,Gizo,SB,82.2,clear sky,-8.1,156.84,Imagination Island
511,Ninh Binh,VN,80.98,broken clouds,20.25,105.97,Kinh Do Hotel
516,Qui Nhon,VN,79.09,overcast clouds,13.77,109.23,Seagull Hotel
518,Sokoni,TZ,80.6,scattered clouds,-6.43,39.55,Ujamaa Beach Resort
526,San Marcos,US,82.99,clear sky,33.14,-117.17,Hampton Inn San Marcos
528,Pangoa,PE,75.88,broken clouds,-12.12,-73.0,
534,Mandera,KE,84.97,overcast clouds,3.94,41.87,Kornesh Hotel and Lodging
535,Bhawanigarh,IN,88.41,clear sky,30.27,76.03,Dhodhian Patti
538,Anuradhapura,LK,77.67,overcast clouds,8.36,80.42,Nilketha Villa Eco Hotel
546,Pilar,BR,86.0,scattered clouds,-9.6,-35.96,Pousada Manguaba
547,Aripuana,BR,86.14,broken clouds,-9.17,-60.63,
548,Guiratinga,BR,78.53,broken clouds,-16.35,-53.76,Hotel Angra do Cerrado - Guiratinga MT
549,Lambarene,GA,78.71,moderate rain,-0.7,10.24,Le Refuge
550,Roebourne,AU,75.96,few clouds,-20.78,117.13,Harding River Caravan Park
555,Houston,US,89.6,scattered clouds,29.76,-95.36,"Hotel ICON, Autograph Collection"
556,Marrakesh,MA,77.0,few clouds,31.63,-8.01,Les Jardins de La Koutoubia
