City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Nioaque,BR,2020-05-06 18:58:23,-21.14,-55.83,65.82,89,100,10.2
96,Te Anau,NZ,2020-05-06 18:56:21,-45.42,167.72,50.36,83,100,6.71
97,Ayan,RU,2020-05-06 18:58:23,56.45,138.17,35.31,84,0,5.86
98,Astoria,US,2020-05-06 18:56:00,46.19,-123.83,55.99,71,40,11.41
99,Lorengau,PG,2020-05-06 18:58:24,-2.02,147.27,79.74,81,92,4.18
100,Port Hardy,CA,2020-05-06 18:58:24,50.7,-127.42,51.8,66,75,11.41
101,Geraldton,AU,2020-05-06 18:56:57,-28.77,114.6,59.0,72,90,8.05
102,Tuktoyaktuk,CA,2020-05-06 18:56:10,69.45,-133.04,21.2,92,90,10.29
103,Muroto,JP,2020-05-06 18:58:25,33.28,134.15,62.37,77,52,21.16
104,Vanavara,RU,2020-05-06 18:58:25,60.34,102.28,30.67,97,0,2.95
105,Korla,CN,2020-05-06 18:56:29,41.76,86.15,60.01,35,4,1.01
106,Andenes,NO,2020-05-06 18:58:26,69.31,16.12,39.2,86,100,28.86
107,Comodoro Rivadavia,AR,2020-05-06 18:56:15,-45.87,-67.5,62.6,48,100,8.05
108,Port Keats,AU,2020-05-06 18:58:26,-14.25,129.55,71.2,50,0,7.54
109,Saldanha,ZA,2020-05-06 18:58:27,-33.01,17.94,66.2,59,80,5.82
110,Sur,OM,2020-05-06 18:58:27,22.57,59.53,90.63,46,0,9.37
111,Turukhansk,RU,2020-05-06 18:58:27,65.82,87.98,30.38,99,100,4.61
112,Vestmannaeyjar,IS,2020-05-06 18:58:27,63.44,-20.27,46.4,70,40,20.8
113,Meulaboh,ID,2020-05-06 18:57:15,4.14,96.13,78.26,88,3,4.03
114,Kinshasa,CD,2020-05-06 18:58:28,-4.32,15.32,84.2,74,20,2.24
115,Staroye Drozhzhanoye,RU,2020-05-06 18:58:28,54.73,47.57,54.19,61,5,12.28
116,Narsaq,GL,2020-05-06 18:57:04,60.92,-46.05,46.4,70,75,6.93
117,Zyryanka,RU,2020-05-06 18:55:56,65.75,150.85,21.04,97,0,4.92
118,Fukue,JP,2020-05-06 18:58:29,32.69,128.84,64.62,63,0,28.45
119,Pisco,PE,2020-05-06 18:56:07,-13.7,-76.22,73.99,73,61,8.05
120,Qaqortoq,GL,2020-05-06 18:56:16,60.72,-46.03,46.4,70,75,6.93
121,Toppenish,US,2020-05-06 18:58:31,46.38,-120.31,60.8,38,0,23.04
122,Nikolskoye,RU,2020-05-06 18:56:53,59.7,30.79,53.01,46,100,8.95
123,Beyneu,KZ,2020-05-06 18:58:32,45.32,55.2,67.5,27,60,22.08
124,Nova Olimpia,BR,2020-05-06 18:58:32,-14.8,-57.29,77.23,90,97,4.74
125,Debre Zeyit,ET,2020-05-06 18:58:33,8.75,38.98,64.4,63,20,6.93
126,Auki,SB,2020-05-06 18:57:00,-8.77,160.7,78.35,78,97,1.03
127,Vaini,TO,2020-05-06 18:55:56,-21.2,-175.2,77.0,100,75,5.82
128,Mahebourg,MU,2020-05-06 18:55:04,-20.41,57.7,73.4,88,20,3.36
